NHMUK_ID,whale_ID,sample_cm,d15N, d13C,species
SW.1916.7,CK1,10,13.25,-18.84,Balaenoptera_acutorostrata
SW.1916.7,CK1,11,12.45,-18.88,Balaenoptera_acutorostrata
SW.1916.7,CK1,12,11.23,-19.88,Balaenoptera_acutorostrata
SW.1918.17,CK2,1,14.11,-16.4,Balaenoptera_acutorostrata
SW.1918.17,CK2,2,14.48,-16.7,Balaenoptera_acutorostrata
SW.1918.17,CK2,3,14.54,-16.55,Balaenoptera_acutorostrata
SW.1918.17,CK2,4,14.43,-16.5,Balaenoptera_acutorostrata
SW.1918.17,CK2,5,14.64,-16.49,Balaenoptera_acutorostrata
SW.1918.17,CK2,6,14.54,-17.13,Balaenoptera_acutorostrata
SW.1918.17,CK2,7,13.99,-17.43,Balaenoptera_acutorostrata
SW.1918.17,CK2,8,13.79,-16.93,Balaenoptera_acutorostrata
SW.1918.17,CK2,9,13.72,-16.5,Balaenoptera_acutorostrata
SW.1918.17,CK2,10,13.63,-16.43,Balaenoptera_acutorostrata
SW.1918.17,CK2,11,14.25,-16.35,Balaenoptera_acutorostrata
SW.1918.17,CK2,12,14.21,-16.56,Balaenoptera_acutorostrata
SW.1918.17,CK2,13,14.7,-16.16,Balaenoptera_acutorostrata
SW.1918.17,CK2,14,14.69,-16.71,Balaenoptera_acutorostrata
SW.1918.17,CK2,15,14.68,-17.05,Balaenoptera_acutorostrata
SW.1918.17,CK2,16,14.7,-16.42,Balaenoptera_acutorostrata
SW.1918.17,CK2,17,14.5,-17.17,Balaenoptera_acutorostrata
SW.1918.17,CK2,18,14.31,-16.57,Balaenoptera_acutorostrata
